                                                         --INPUT DATA--

     TITLE--  * Airfoil Test                                *                                 

     ITER =  80   IPLOT =  0   IPUNCH =  1   IOP =  0   ICAMTK =  1   IBAD =  1   ITRN =  1   INTR =  2

     NU =  26

     XU=   0.346000E-03   0.553800E-02   0.225000E-01   0.425760E-01   0.723440E-01   0.104191E+00   0.156112E+00   0.206652E+00
           0.255112E+00   0.308072E+00   0.353412E+00   0.394602E+00   0.451022E+00   0.506402E+00   0.559362E+00   0.602632E+00
           0.653172E+00   0.700591E+00   0.749051E+00   0.808241E+00   0.860511E+00   0.916230E+00   0.942540E+00   0.967810E+00
           0.985120E+00   0.999650E+00

     YU=   0.348000E-03   0.833900E-02   0.170340E-01   0.239940E-01   0.337390E-01   0.427910E-01   0.542890E-01   0.623130E-01
           0.679050E-01   0.710690E-01   0.717960E-01   0.707840E-01   0.680470E-01   0.632250E-01   0.580530E-01   0.532220E-01
           0.470070E-01   0.407900E-01   0.342270E-01   0.266290E-01   0.200680E-01   0.135100E-01   0.104030E-01   0.764300E-02
           0.522500E-02   0.245700E-02

     WU=   0.100000E+01   0.100000E+01   0.100000E+01   0.100000E+01   0.100000E+01   0.100000E+01   0.100000E+01   0.100000E+01
           0.100000E+01   0.100000E+01   0.100000E+01   0.100000E+01   0.100000E+01   0.100000E+01   0.100000E+01   0.100000E+01
           0.100000E+01   0.100000E+01   0.100000E+01   0.100000E+01   0.100000E+01   0.100000E+01   0.100000E+01   0.100000E+01
           0.100000E+01   0.100000E+01

     NL =  26

     XL=   0.346000E-03   0.519200E-02   0.228440E-01   0.418820E-01   0.650730E-01   0.996870E-01   0.150919E+00   0.202149E+00
           0.258908E+00   0.302178E+00   0.356178E+00   0.408788E+00   0.455518E+00   0.503978E+00   0.559358E+00   0.605749E+00
           0.654209E+00   0.704049E+00   0.753549E+00   0.803389E+00   0.858769E+00   0.915890E+00   0.942540E+00   0.969190E+00
           0.984080E+00   0.100070E+01

     YL=   0.348000E-03  -0.937300E-02  -0.170000E-01  -0.225440E-01  -0.277360E-01  -0.343090E-01  -0.401760E-01  -0.446550E-01
          -0.487820E-01  -0.504860E-01  -0.507950E-01  -0.507570E-01  -0.507230E-01  -0.496460E-01  -0.471760E-01  -0.450580E-01
          -0.415500E-01  -0.376940E-01  -0.324490E-01  -0.275520E-01  -0.209130E-01  -0.139260E-01  -0.107810E-01  -0.694200E-02
          -0.484700E-02  -0.309900E-02

     WL=   0.100000E+01   0.100000E+01   0.100000E+01   0.100000E+01   0.100000E+01   0.100000E+01   0.100000E+01   0.100000E+01
           0.100000E+01   0.100000E+01   0.100000E+01   0.100000E+01   0.100000E+01   0.100000E+01   0.100000E+01   0.100000E+01
           0.100000E+01   0.100000E+01   0.100000E+01   0.100000E+01   0.100000E+01   0.100000E+01   0.100000E+01   0.100000E+01
           0.100000E+01   0.100000E+01

   NINT =  40

   XINT=   0.000000E+00   0.980000E-03   0.548000E-02   0.133800E-01   0.243300E-01   0.381100E-01   0.546800E-01   0.739500E-01
           0.957600E-01   0.119990E+00   0.146480E+00   0.175040E+00   0.205490E+00   0.237600E+00   0.271200E+00   0.306090E+00
           0.342040E+00   0.378870E+00   0.416380E+00   0.454350E+00   0.492650E+00   0.530990E+00   0.569370E+00   0.607780E+00
           0.645940E+00   0.683590E+00   0.720430E+00   0.756160E+00   0.790480E+00   0.823090E+00   0.853700E+00   0.882020E+00
           0.907750E+00   0.930640E+00   0.950440E+00   0.966980E+00   0.980370E+00   0.990700E+00   0.997540E+00   0.100000E+01

   CNEW =     1.000
1                                --INPUT COORDINATES--

     TITLE--  * Airfoil Test                                *                                 

         I           XU             YU             XL             YL
         8       0.073950       0.034502   0.283576E+00  -0.126585E+01   0.112719E+01
         9       0.095760       0.040395   0.257242E+00  -0.115725E+01   0.105120E+01
        10       0.119990       0.046295   0.229873E+00  -0.111865E+01   0.103550E+01
        11       0.146480       0.051993   0.200401E+00  -0.110775E+01   0.104422E+01
        12       0.175040       0.057267   0.169076E+00  -0.108029E+01   0.103557E+01
        13       0.205490       0.061919   0.136536E+00  -0.106063E+01   0.103164E+01
        14       0.237600       0.065766   0.103359E+00  -0.101020E+01   0.994226E+00
        15       0.271200       0.068676   0.701101E-01  -0.960157E+00   0.953120E+00
        16       0.306090       0.070549   0.375352E-01  -0.912278E+00   0.910353E+00
        17       0.342040       0.071326   0.615658E-02  -0.836546E+00   0.836498E+00
        18       0.378870       0.071003  -0.230128E-01  -0.737972E+00   0.737386E+00
        19       0.416380       0.069647  -0.485614E-01  -0.617136E+00   0.614960E+00
        20       0.454350       0.067388  -0.696740E-01  -0.497445E+00   0.493844E+00
        21       0.492650       0.064382  -0.865514E-01  -0.385652E+00   0.381359E+00
        22       0.530990       0.060804  -0.995870E-01  -0.302503E+00   0.298058E+00
        23       0.569370       0.056776  -0.109889E+00  -0.239204E+00   0.234936E+00
        24       0.607780       0.052390  -0.118183E+00  -0.192590E+00   0.188624E+00
        25       0.645940       0.047751  -0.124632E+00  -0.143937E+00   0.140647E+00
        26       0.683590       0.042970  -0.129027E+00  -0.876456E-01   0.855016E-01
        27       0.720430       0.038171  -0.131095E+00  -0.260359E-01   0.253789E-01
        28       0.756160       0.033485  -0.130808E+00   0.398108E-01   0.388104E-01
        29       0.790480       0.029029  -0.128531E+00   0.970982E-01   0.947408E-01
        30       0.823090       0.024902  -0.124338E+00   0.148173E+00   0.144802E+00
        31       0.853700       0.021169  -0.119341E+00   0.180938E+00   0.177140E+00
        32       0.882020       0.017861  -0.114557E+00   0.136156E+00   0.133519E+00
        33       0.907750       0.014950  -0.112154E+00   0.437884E-01   0.429750E-01
        34       0.930640       0.012380  -0.113193E+00  -0.179598E+00   0.176201E+00
        35       0.950440       0.010083  -0.120188E+00  -0.584501E+00   0.572061E+00
        36       0.966980       0.007991  -0.134301E+00  -0.115569E+01   0.112511E+01
        37       0.980370       0.006069  -0.154562E+00  -0.190991E+01   0.184346E+01
        38       0.990700       0.004357  -0.178216E+00  -0.271829E+01   0.259375E+01
        39       0.997540       0.003069  -0.199060E+00  -0.339538E+01   0.320313E+01
        40       0.998947       0.002786  -0.203944E+00  -0.354929E+01   0.333883E+01

          CHORD =  1.000000
1     TITLE--  * Airfoil Test                                *                                 

                          --LOWER SURFACE INTERPOLATED COORDINATES--

         I          XL             YL           DY/DX      D(DY/DX)/DX      CURVATURE
         1       0.000000      -0.000637   0.100000E+99   0.100000E+99   0.149133E+03
         2       0.000980      -0.004250  -0.183710E+01   0.944736E+03   0.103241E+03
         3       0.005480      -0.009134  -0.766806E+00   0.718754E+02   0.359176E+02
         4       0.013380      -0.013819  -0.481057E+00   0.192065E+02   0.140553E+02
         5       0.024330      -0.018245  -0.346698E+00   0.802934E+01   0.677231E+01
         6       0.038110      -0.022418  -0.267644E+00   0.415869E+01   0.374875E+01
         7       0.054680      -0.026379  -0.215213E+00   0.241611E+01   0.225747E+01
         8       0.073950      -0.030143  -0.178203E+00   0.154906E+01   0.147810E+01
         9       0.095760      -0.033705  -0.150028E+00   0.108451E+01   0.104890E+01
        10       0.119990      -0.037050  -0.127075E+00   0.839375E+00   0.819447E+00
        11       0.146480      -0.040142  -0.107013E+00   0.688156E+00   0.676502E+00
        12       0.175040      -0.042932  -0.887806E-01   0.597362E+00   0.590368E+00
        13       0.205490      -0.045368  -0.715548E-01   0.536612E+00   0.532517E+00
        14       0.237600      -0.047400  -0.552771E-01   0.481503E+00   0.479305E+00
        15       0.271200      -0.048993  -0.398405E-01   0.431417E+00   0.430392E+00
        16       0.306090      -0.050133  -0.258223E-01   0.372879E+00   0.372506E+00
        17       0.342040      -0.050835  -0.135960E-01   0.310288E+00   0.310202E+00
        18       0.378870      -0.051136  -0.302072E-02   0.268747E+00   0.268743E+00
        19       0.416380      -0.051067   0.653648E-02   0.246553E+00   0.246537E+00
        20       0.454350      -0.050641   0.159730E-01   0.251591E+00   0.251495E+00
        21       0.492650      -0.049838   0.261368E-01   0.280730E+00   0.280442E+00
        22       0.530990      -0.048622   0.374274E-01   0.306231E+00   0.305589E+00
        23       0.569370      -0.046954   0.496719E-01   0.325794E+00   0.324592E+00
        24       0.607780      -0.044806   0.621489E-01   0.323255E+00   0.321391E+00
        25       0.645940      -0.042205   0.740153E-01   0.298692E+00   0.296254E+00
        26       0.683590      -0.039213   0.847570E-01   0.270867E+00   0.267974E+00
        27       0.720430      -0.035913   0.941954E-01   0.244220E+00   0.241005E+00
        28       0.756160      -0.032397   0.102492E+00   0.220020E+00   0.216598E+00
        29       0.790480      -0.028752   0.109805E+00   0.204397E+00   0.200755E+00
        30       0.823090      -0.025066   0.116187E+00   0.189532E+00   0.185758E+00
        31       0.853700      -0.021424   0.121724E+00   0.169553E+00   0.165853E+00
        32       0.882020      -0.017911   0.126218E+00   0.146947E+00   0.143504E+00
        33       0.907750      -0.014619   0.129562E+00   0.108905E+00   0.106219E+00
        34       0.930640      -0.011629   0.131416E+00   0.474393E-01   0.462364E-01
        35       0.950440      -0.009023   0.131511E+00  -0.507989E-01   0.495090E-01
        36       0.966980      -0.006860   0.129598E+00  -0.189363E+00   0.184691E+00
        37       0.980370      -0.005147   0.125991E+00  -0.359548E+00   0.351154E+00
        38       0.990700      -0.003867   0.121391E+00  -0.539873E+00   0.528156E+00
        39       0.997540      -0.003051   0.117204E+00  -0.688526E+00   0.674578E+00
        40       1.000000      -0.002765   0.115437E+00  -0.748501E+00   0.733785E+00
  




                                                -- THE LAST CASE HAS BEEN PROCESSED --
